OrphaCode,DisorderName,DisabilityName,Frequency,Temporality,Severity,LossOfAbility,Type,Defined
893,Wagr Syndrome,"Managing One'S Health (Diet, Medications, Prevention, Needs, Assistance, Monitoring)",Very Frequent,Permanent Limitation,Severe,n,Disability,y
893,Wagr Syndrome,Falling Asleep,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Staying Asleep,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Getting Good Quality Sleep,Frequent,Acquisition Delay,Severe,n,Disability,y
893,Wagr Syndrome,Staying Awake,Occasional,Acquisition Delay,Unspecified,n,Disability,y
893,Wagr Syndrome,"Handling Stress, Responsabilities, Emergencies And Ensuring One'S Safety",Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Handling Emotions And Mood,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Controlling One'S Own General Behaviour,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Controlling One'S Own Eating Behaviour,Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Moving Around Outside The Home,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Using Transportation,Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Driving,Very Frequent,Permanent Limitation,Severe,n,Disability,y
893,Wagr Syndrome,Interacting With Other People,Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Making/Keeping Friends,Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Maintaining Family Relationships,Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Dealing With Strangers,Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Engaging In And Maintaining Intimate Relationships,Very Frequent,Permanent Limitation,Severe,n,Disability,y
893,Wagr Syndrome,Engaging In Sexual Relationships,Very Frequent,Permanent Limitation,Severe,n,Disability,y
893,Wagr Syndrome,Shopping,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Cooking/Preparing Meals,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Doing Housework,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Looking After/Helping Others,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Attending Preschool,Very Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Attending Mainstream School,Very Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Attending School In An Adapted Mainstream/Special Environment,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Learning A Profession (Vocational Training/Apprenticeship) In The Standard Environment,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Learning A Profession (Vocational Training/Apprenticeship) In An Adapted Mainstream/Special Environment,Very Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Accessing Higher Education,Very Frequent,Permanent Limitation,Severe,n,Disability,y
893,Wagr Syndrome,Engaging In Paid Work In A Standard Environment,Very Frequent,Permanent Limitation,Severe,n,Disability,y
893,Wagr Syndrome,Engaging In Paid Work In A Supported/Sheltered Environment,Very Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Seeking Employment,Very Frequent,Permanent Limitation,Severe,n,Disability,y
893,Wagr Syndrome,Performing Professional Tasks,Occasional,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Handling Money/Managing One'S Own Budget,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Carrying Out Administrative Procedures,Very Frequent,Permanent Limitation,Severe,n,Disability,y
893,Wagr Syndrome,Undertaking A Simple Task,Very Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Undertaking A Complex/Multiple Task,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Carrying Out Daily Routines,Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Taking Part In Community Life,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Playing With Others,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Socializing,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Practicing Sports,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Participating In The Arts And Cultural Activities,Frequent,Permanent Limitation,Low,n,Disability,y
893,Wagr Syndrome,Travelling,Frequent,Permanent Limitation,Unspecified,n,Disability,y
893,Wagr Syndrome,Light Intensity,Unknown,Unknown,Unknown,y,Environmental factor,n
893,Wagr Syndrome,Light Quality,Unknown,Unknown,Unknown,y,Environmental factor,n
893,Wagr Syndrome,Day/Night Cycles,Unknown,Unknown,Unknown,y,Environmental factor,n
893,Wagr Syndrome,Sound Intensity,Unknown,Unknown,Unknown,y,Environmental factor,n
893,Wagr Syndrome,Seeing/Watching,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Hearing/Listening,Frequent,Acquisition Delay,Unspecified,n,Disability,y
893,Wagr Syndrome,Acquiring Language,Very Frequent,Acquisition Delay,Moderate,n,Disability,y
893,Wagr Syndrome,Learning To Read,Very Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Learning To Write,Very Frequent,Acquisition Delay,Severe,n,Disability,y
893,Wagr Syndrome,Learning To Calculate,Very Frequent,Acquisition Delay,Severe,n,Disability,y
893,Wagr Syndrome,Reading,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Writing,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Calculating,Very Frequent,Permanent Limitation,Severe,n,Disability,y
893,Wagr Syndrome,Focusing Attention,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Memorizing And Retrieving,Very Frequent,Permanent Limitation,Low,n,Disability,y
893,Wagr Syndrome,Thinking And Reasoning,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Making Decisions/Taking Initiatives/Finding Solutions,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Being Aware Of Time,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Being Aware Of Space,Frequent,Permanent Limitation,Moderate,n,Disability,y
893,Wagr Syndrome,Receiving Spoken Messages,Very Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Receiving Messages In Sign Language,Unknown,Unknown,Unknown,y,Disability,n
893,Wagr Syndrome,Receiving Nonverbal Messages,Very Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Receiving Written Messages,Very Frequent,Acquisition Delay,Severe,n,Disability,y
893,Wagr Syndrome,Speaking,Very Frequent,Acquisition Delay,Moderate,n,Disability,y
893,Wagr Syndrome,Producing Messages In Sign Language,Unknown,Unknown,Unknown,y,Disability,n
893,Wagr Syndrome,Producing Nonverbal Messages,Very Frequent,Acquisition Delay,Severe,n,Disability,y
893,Wagr Syndrome,Writing Messages,Very Frequent,Acquisition Delay,Severe,n,Disability,y
893,Wagr Syndrome,Participating In A Conversation,Very Frequent,Acquisition Delay,Moderate,n,Disability,y
893,Wagr Syndrome,Using Communication Devices,Very Frequent,Acquisition Delay,Moderate,n,Disability,y
893,Wagr Syndrome,Standing,Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Sitting,Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Bending,Occasional,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Transferring Oneself,Occasional,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Maintaining A Standing Position,Occasional,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Maintaining Head Position,Occasional,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Reaching And Catching Objects,Very Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Lifting And Carrying Objects,Very Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Handling Objects (Fine Hand Use),Very Frequent,Acquisition Delay,Moderate,n,Disability,y
893,Wagr Syndrome,Walking Short Distances,Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Walking Long Distances,Frequent,Acquisition Delay,Unspecified,n,Disability,y
893,Wagr Syndrome,"Performing Vigorous Activities (Climbing, Running, Jumping, Swimming,...)",Very Frequent,Acquisition Delay,Moderate,n,Disability,y
893,Wagr Syndrome,Washing Oneself,Very Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,"Caring For Body Parts (Skin, Teeth, Nails, Hair, Genitals)",Very Frequent,Acquisition Delay,Unspecified,n,Disability,y
893,Wagr Syndrome,Regulating Urination,Very Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Regulating Defecation,Very Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Dressing/Undressing,Frequent,Acquisition Delay,Low,n,Disability,y
893,Wagr Syndrome,Eating,Frequent,Acquisition Delay,Unspecified,n,Disability,y
893,Wagr Syndrome,Drinking,Frequent,Acquisition Delay,Low,n,Disability,y
503,Larsen Syndrome,Hearing/Listening,Frequent,Permanent Limitation,Moderate,n,Disability,y
503,Larsen Syndrome,Sitting,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
503,Larsen Syndrome,Reaching And Catching Objects,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
503,Larsen Syndrome,Lifting And Carrying Objects,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
503,Larsen Syndrome,Walking Short Distances,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
503,Larsen Syndrome,Walking Long Distances,Very Frequent,Permanent Limitation,Severe,n,Disability,y
503,Larsen Syndrome,"Performing Vigorous Activities (Climbing, Running, Jumping, Swimming,...)",Very Frequent,Permanent Limitation,Severe,n,Disability,y
503,Larsen Syndrome,Doing Housework,Very Frequent,Permanent Limitation,Low,n,Disability,y
503,Larsen Syndrome,Practicing Sports,Frequent,Permanent Limitation,Moderate,n,Disability,y
503,Larsen Syndrome,Sound Intensity,Unknown,Unknown,Unknown,y,Environmental factor,n
894,Waardenburg Syndrome Type 1,"Managing One'S Health (Diet, Medications, Prevention, Needs, Assistance, Monitoring)",Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Using Transportation,Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Interacting With Other People,Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Attending Preschool,Occasional,Permanent Limitation,Low,n,Disability,y
894,Waardenburg Syndrome Type 1,Attending Mainstream School,Occasional,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Learning A Profession (Vocational Training/Apprenticeship) In The Standard Environment,Occasional,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Accessing Higher Education,Occasional,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Engaging In Paid Work In A Standard Environment,Occasional,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Seeking Employment,Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Performing Professional Tasks,Occasional,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Carrying Out Administrative Procedures,Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Taking Part In Community Life,Occasional,Permanent Limitation,Low,n,Disability,y
894,Waardenburg Syndrome Type 1,Playing With Others,Occasional,Permanent Limitation,Low,n,Disability,y
894,Waardenburg Syndrome Type 1,Participating In The Arts And Cultural Activities,Occasional,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Travelling,Occasional,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Light Intensity,Unknown,Unknown,Unknown,y,Environmental factor,n
894,Waardenburg Syndrome Type 1,Light Quality,Unknown,Unknown,Unknown,y,Environmental factor,n
894,Waardenburg Syndrome Type 1,Sound Intensity,Unknown,Unknown,Unknown,y,Environmental factor,n
894,Waardenburg Syndrome Type 1,Sound Quality,Unknown,Unknown,Unknown,y,Environmental factor,n
894,Waardenburg Syndrome Type 1,Vibrations,Unknown,Unknown,Unknown,y,Environmental factor,n
894,Waardenburg Syndrome Type 1,Learning To Read,Frequent,Permanent Limitation,Moderate,n,Disability,y
